"season","week","team","rating"
"2013","15","ATL",1324
"2013","15","OAK",1316
"2013","15","HOU",1267
"2013","15","WSH",1260
"2013","15","JAX",1230
"2013","16","DEN",1675
"2013","16","SEA",1661
"2013","16","CIN",1625
"2013","16","CAR",1623
"2013","16","SF",1623
"2013","16","NE",1622
"2013","16","NO",1615
"2013","16","ARI",1593
"2013","16","PHI",1589
"2013","16","KC",1586
"2013","16","IND",1581
"2013","16","SD",1547
"2013","16","MIA",1523
"2013","16","DET",1522
"2013","16","DAL",1509
"2013","16","PIT",1509
"2013","16","BAL",1508
"2013","16","CHI",1494
"2013","16","STL",1493
"2013","16","GB",1477
"2013","16","BUF",1429
"2013","16","TEN",1402
"2013","16","NYJ",1402
"2013","16","NYG",1379
"2013","16","MIN",1350
"2013","16","CLE",1322
"2013","16","TB",1313
"2013","16","ATL",1288
"2013","16","OAK",1278
"2013","16","WSH",1250
"2013","16","HOU",1218
"2013","16","JAX",1209
"2013","17","DEN",1680
"2013","17","SEA",1676
"2013","17","CIN",1644
"2013","17","SF",1635
"2013","17","NE",1634
"2013","17","CAR",1625
"2013","17","NO",1624
"2013","17","PHI",1597
"2013","17","IND",1587
"2013","17","ARI",1578
"2013","17","KC",1573
"2013","17","SD",1563
"2013","17","PIT",1522
"2013","17","DET",1518
"2013","17","MIA",1505
"2013","17","GB",1496
"2013","17","DAL",1496
"2013","17","CHI",1476
"2013","17","BAL",1472
"2013","17","STL",1453
"2013","17","NYJ",1439
"2013","17","TEN",1412
"2013","17","NYG",1396
"2013","17","BUF",1392
"2013","17","MIN",1361
"2013","17","CLE",1286
"2013","17","ATL",1278
"2013","17","TB",1264
"2013","17","OAK",1232
"2013","17","WSH",1215
"2013","17","HOU",1191
"2013","17","JAX",1162
"2013","2","DEN",1556
"2013","2","SEA",1551
"2013","2","MIA",1542
"2013","2","KC",1540
"2013","2","HOU",1534
"2013","2","NO",1529
"2013","2","NE",1525
"2013","2","CHI",1520
"2013","2","DAL",1511
"2013","2","CIN",1510
"2013","2","GB",1510
"2013","2","DET",1509
"2013","2","OAK",1507
"2013","2","PHI",1507
"2013","2","ARI",1504
"2013","2","ATL",1504
"2013","2","TEN",1502
"2013","2","SD",1502
"2013","2","IND",1500
"2013","2","BUF",1496
"2013","2","STL",1495
"2013","2","NYJ",1493
"2013","2","BAL",1491
"2013","2","SF",1487
"2013","2","TB",1481
"2013","2","CAR",1475
"2013","2","MIN",1468
"2013","2","PIT",1455
"2013","2","CLE",1452
"2013","2","WSH",1451
"2013","2","NYG",1449
"2013","2","JAX",1442
"2013","3","DEN",1580
"2013","3","SEA",1573
"2013","3","KC",1561
"2013","3","NO",1559
"2013","3","MIA",1556
"2013","3","NE",1551
"2013","3","CHI",1543
"2013","3","DAL",1541
"2013","3","IND",1529
"2013","3","BAL",1526
"2013","3","CIN",1526
"2013","3","DET",1526
"2013","3","TEN",1516
"2013","3","NYJ",1514
"2013","3","CAR",1509
"2013","3","HOU",1506
"2013","3","GB",1494
"2013","3","SD",1488
"2013","3","ATL",1486
"2013","3","PHI",1481
"2013","3","OAK",1475
"2013","3","BUF",1475
"2013","3","ARI",1470
"2013","3","CLE",1469
"2013","3","STL",1461
"2013","3","SF",1455
"2013","3","MIN",1453
"2013","3","TB",1448
"2013","3","WSH",1427
"2013","3","PIT",1422
"2013","3","NYG",1410
"2013","3","JAX",1400
"2013","4","DEN",1604
"2013","4","NO",1590
"2013","4","SEA",1584
"2013","4","KC",1579
"2013","4","NE",1567
"2013","4","IND",1550
"2013","4","DET",1549
"2013","4","TEN",1548
"2013","4","MIA",1525
"2013","4","CHI",1522
"2013","4","DAL",1521
"2013","4","SD",1515
"2013","4","BAL",1514
"2013","4","CAR",1509
"2013","4","CIN",1504
"2013","4","CLE",1499
"2013","4","GB",1494
"2013","4","BUF",1491
"2013","4","HOU",1490
"2013","4","SF",1488
"2013","4","ARI",1483
"2013","4","NYJ",1481
"2013","4","MIN",1472
"2013","4","ATL",1462
"2013","4","WSH",1455
"2013","4","OAK",1454
"2013","4","PHI",1438
"2013","4","TB",1433
"2013","4","STL",1430
"2013","4","PIT",1399
"2013","4","NYG",1368
"2013","4","JAX",1355
"2013","5","DEN",1614
"2013","5","NO",1607
"2013","5","KC",1599
"2013","5","IND",1572
"2013","5","SEA",1566
"2013","5","NE",1550
"2013","5","CIN",1530
"2013","5","BAL",1529
"2013","5","DET",1527
"2013","5","GB",1525
"2013","5","CLE",1524
"2013","5","TEN",1523
"2013","5","SF",1523
"2013","5","ARI",1514
"2013","5","MIA",1511
"2013","5","DAL",1505
"2013","5","CHI",1496
"2013","5","SD",1495
"2013","5","NYJ",1492
"2013","5","OAK",1483
"2013","5","CAR",1482
"2013","5","MIN",1472
"2013","5","BUF",1465
"2013","5","PHI",1460
"2013","5","HOU",1456
"2013","5","WSH",1455
"2013","5","ATL",1451
"2013","5","STL",1450
"2013","5","TB",1433
"2013","5","PIT",1399
"2013","5","NYG",1336
"2013","5","JAX",1323
"2013","6","DEN",1622
"2013","6","KC",1618
"2013","6","NO",1595
"2013","6","SEA",1584
"2013","6","NE",1566
"2013","6","DET",1554
"2013","6","IND",1553
"2013","6","SF",1548
"2013","6","CIN",1541
"2013","6","GB",1536
"2013","6","DAL",1528
"2013","6","SD",1525
"2013","6","BAL",1518
"2013","6","CAR",1513
"2013","6","MIA",1511
"2013","6","CHI",1507
"2013","6","TEN",1500
"2013","6","CLE",1497
"2013","6","ARI",1488
"2013","6","STL",1483
"2013","6","PHI",1482
"2013","6","NYJ",1471
"2013","6","ATL",1451
"2013","6","BUF",1449
"2013","6","OAK",1446
"2013","6","MIN",1438
"2013","6","PIT",1434
"2013","6","WSH",1424
"2013","6","HOU",1423
"2013","6","TB",1407
"2013","6","NYG",1310
"2013","6","JAX",1281
"2013","7","KC",1621
"2013","7","DEN",1606
"2013","7","SEA",1602
"2013","7","NO",1595
"2013","7","IND",1577
"2013","7","SF",1571
"2013","7","GB",1562
"2013","7","NE",1556
"2013","7","CIN",1555
"2013","7","DAL",1551
"2013","7","DET",1540
"2013","7","CAR",1538
"2013","7","SD",1535
"2013","7","BAL",1507
"2013","7","MIA",1502
"2013","7","CHI",1494
"2013","7","NYJ",1489
"2013","7","ATL",1470
"2013","7","TEN",1470
"2013","7","CLE",1465
"2013","7","BUF",1462
"2013","7","ARI",1456
"2013","7","STL",1454
"2013","7","PHI",1452
"2013","7","PIT",1452
"2013","7","OAK",1446
"2013","7","WSH",1445
"2013","7","MIN",1419
"2013","7","HOU",1414
"2013","7","TB",1383
"2013","7","NYG",1350
"2013","7","JAX",1238
"2013","8","KC",1632
"2013","8","DEN",1623
"2013","8","NO",1613
"2013","8","SEA",1612
"2013","8","CIN",1584
"2013","8","SF",1579
"2013","8","GB",1577
"2013","8","IND",1577
"2013","8","NE",1575
"2013","8","CAR",1554
"2013","8","DET",1547
"2013","8","DAL",1544
"2013","8","SD",1535
"2013","8","BAL",1507
"2013","8","CHI",1494
"2013","8","ARI",1485
"2013","8","MIA",1475
"2013","8","TEN",1470
"2013","8","OAK",1460
"2013","8","NYJ",1447
"2013","8","ATL",1443
"2013","8","CLE",1439
"2013","8","PIT",1438
"2013","8","PHI",1436
"2013","8","STL",1430
"2013","8","BUF",1424
"2013","8","HOU",1414
"2013","8","WSH",1402
"2013","8","MIN",1384
"2013","8","NYG",1380
"2013","8","TB",1343
"2013","8","JAX",1185
"2013","9","KC",1642
"2013","9","DEN",1623
"2013","9","SEA",1617
"2013","9","NO",1601
"2013","9","NE",1594
"2013","9","IND",1584
"2013","9","SF",1579
"2013","9","CIN",1576
"2013","9","CAR",1576
"2013","9","GB",1561
"2013","9","DAL",1553
"2013","9","DET",1547
"2013","9","SD",1522
"2013","9","CHI",1520
"2013","9","BAL",1490
"2013","9","MIA",1490
"2013","9","TEN",1488
"2013","9","ARI",1485
"2013","9","NYJ",1477
"2013","9","PHI",1473
"2013","9","CLE",1463
"2013","9","WSH",1430
"2013","9","OAK",1429
"2013","9","STL",1407
"2013","9","ATL",1403
"2013","9","PIT",1396
"2013","9","HOU",1395
"2013","9","BUF",1390
"2013","9","NYG",1380
"2013","9","MIN",1363
"2013","9","TB",1323
"2013","9","JAX",1185
"2014","1","SEA",1637
"2014","1","DEN",1637
"2014","1","CIN",1609
"2014","1","SF",1608
"2014","1","CAR",1590
"2014","1","NO",1576
"2014","1","PHI",1573
"2014","1","NE",1569
"2014","1","ARI",1559
"2014","1","MIA",1537
"2014","1","SD",1535
"2014","1","DET",1535
"2014","1","IND",1534
"2014","1","KC",1528
"2014","1","PIT",1522
"2014","1","TEN",1480
"2014","1","CHI",1472
"2014","1","NYJ",1470
"2014","1","DAL",1467
"2014","1","GB",1459
"2014","1","BAL",1455
