"season","week","game.id","url"
2014,6,"400554231","http://scores.espn.go.com/nfl/boxscore?gameId=400554231"
2014,6,"400554255","http://scores.espn.go.com/nfl/boxscore?gameId=400554255"
2014,6,"400554259","http://scores.espn.go.com/nfl/boxscore?gameId=400554259"
2014,6,"400554263","http://scores.espn.go.com/nfl/boxscore?gameId=400554263"
2014,6,"400554295","http://scores.espn.go.com/nfl/boxscore?gameId=400554295"
2014,6,"400554299","http://scores.espn.go.com/nfl/boxscore?gameId=400554299"
2014,6,"400554302","http://scores.espn.go.com/nfl/boxscore?gameId=400554302"
2014,6,"400554220","http://scores.espn.go.com/nfl/boxscore?gameId=400554220"
2014,6,"400554305","http://scores.espn.go.com/nfl/boxscore?gameId=400554305"
2014,6,"400554308","http://scores.espn.go.com/nfl/boxscore?gameId=400554308"
2014,6,"400554312","http://scores.espn.go.com/nfl/boxscore?gameId=400554312"
2014,6,"400554335","http://scores.espn.go.com/nfl/boxscore?gameId=400554335"
2014,7,"400554219","http://scores.espn.go.com/nfl/boxscore?gameId=400554219"
2014,7,"400554228","http://scores.espn.go.com/nfl/boxscore?gameId=400554228"
2014,7,"400554233","http://scores.espn.go.com/nfl/boxscore?gameId=400554233"
2014,7,"400554257","http://scores.espn.go.com/nfl/boxscore?gameId=400554257"
2014,7,"400554261","http://scores.espn.go.com/nfl/boxscore?gameId=400554261"
2014,7,"400554265","http://scores.espn.go.com/nfl/boxscore?gameId=400554265"
2014,7,"400554268","http://scores.espn.go.com/nfl/boxscore?gameId=400554268"
2014,7,"400554270","http://scores.espn.go.com/nfl/boxscore?gameId=400554270"
2014,7,"400554271","http://scores.espn.go.com/nfl/boxscore?gameId=400554271"
2014,7,"400554294","http://scores.espn.go.com/nfl/boxscore?gameId=400554294"
2014,7,"400554297","http://scores.espn.go.com/nfl/boxscore?gameId=400554297"
2014,7,"400554300","http://scores.espn.go.com/nfl/boxscore?gameId=400554300"
2014,7,"400554304","http://scores.espn.go.com/nfl/boxscore?gameId=400554304"
2014,7,"400554307","http://scores.espn.go.com/nfl/boxscore?gameId=400554307"
2014,7,"400554311","http://scores.espn.go.com/nfl/boxscore?gameId=400554311"
2014,8,"400554218","http://scores.espn.go.com/nfl/boxscore?gameId=400554218"
2014,8,"400554224","http://scores.espn.go.com/nfl/boxscore?gameId=400554224"
2014,8,"400554227","http://scores.espn.go.com/nfl/boxscore?gameId=400554227"
2014,8,"400554230","http://scores.espn.go.com/nfl/boxscore?gameId=400554230"
2014,8,"400554254","http://scores.espn.go.com/nfl/boxscore?gameId=400554254"
2014,8,"400554258","http://scores.espn.go.com/nfl/boxscore?gameId=400554258"
2014,8,"400554264","http://scores.espn.go.com/nfl/boxscore?gameId=400554264"
2014,8,"400554267","http://scores.espn.go.com/nfl/boxscore?gameId=400554267"
2014,8,"400554272","http://scores.espn.go.com/nfl/boxscore?gameId=400554272"
2014,8,"400554298","http://scores.espn.go.com/nfl/boxscore?gameId=400554298"
2014,8,"400554303","http://scores.espn.go.com/nfl/boxscore?gameId=400554303"
2014,8,"400554306","http://scores.espn.go.com/nfl/boxscore?gameId=400554306"
2014,8,"400554310","http://scores.espn.go.com/nfl/boxscore?gameId=400554310"
2014,8,"400554313","http://scores.espn.go.com/nfl/boxscore?gameId=400554313"
2014,8,"400554336","http://scores.espn.go.com/nfl/boxscore?gameId=400554336"
2014,9,"400554309","http://scores.espn.go.com/nfl/boxscore?gameId=400554309"
2014,9,"400554334","http://scores.espn.go.com/nfl/boxscore?gameId=400554334"
2014,9,"400554337","http://scores.espn.go.com/nfl/boxscore?gameId=400554337"
2014,9,"400554339","http://scores.espn.go.com/nfl/boxscore?gameId=400554339"
2014,9,"400554341","http://scores.espn.go.com/nfl/boxscore?gameId=400554341"
2014,9,"400554344","http://scores.espn.go.com/nfl/boxscore?gameId=400554344"
2014,9,"400554347","http://scores.espn.go.com/nfl/boxscore?gameId=400554347"
2014,9,"400554351","http://scores.espn.go.com/nfl/boxscore?gameId=400554351"
2014,9,"400554377","http://scores.espn.go.com/nfl/boxscore?gameId=400554377"
2014,9,"400554381","http://scores.espn.go.com/nfl/boxscore?gameId=400554381"
