"boxscore.id","game.date","game.time","game.stadium","game.city","espn.id.away","espn.id.home","team.score.away","team.score.home","attendance"
"400554399","December 1, 2014","8:30 PM ET","MetLife Stadium","East Rutherford, NJ ","MIA","NYJ",16,13,78160
"400554400","November 9, 2014","4:25 PM ET","CenturyLink Field","Seattle, WA ","NYG","SEA",17,38,68352
"400554401","December 21, 2014","1:00 PM ET","Soldier Field","Chicago, IL ","DET","CHI",20,14,61420
"400554402","December 21, 2014","1:00 PM ET","Bank of America Stadium","Charlotte, NC ","CLE","CAR",13,17,73810
"400554403","November 9, 2014","8:30 PM ET","Lambeau Field","Green Bay, WI ","CHI","GB",14,55,78292
"400554404","December 28, 2014","4:25 PM ET","Georgia Dome","Atlanta, GA ","CAR","ATL",34,3,71015
"400554405","December 28, 2014","1:00 PM ET","M&T Bank Stadium","Baltimore, MD ","CLE","BAL",10,20,71070
"400554406","December 21, 2014","1:00 PM ET","Mercedes-Benz Superdome","New Orleans, LA ","ATL","NO",30,14,73164
"400554407","December 28, 2014","1:00 PM ET","FedEx Field","Landover, MD ","DAL","WSH",44,17,80897
"400554408","November 10, 2014","8:30 PM ET","Lincoln Financial Field","Philadelphia, PA ","CAR","PHI",21,45,69596
"400554409","December 28, 2014","1:00 PM ET","LP Field","Nashville, TN ","IND","TEN",27,10,69143
"400554410","December 21, 2014","1:00 PM ET","Raymond James Stadium","Tampa, FL ","GB","TB",20,3,64247
"400554411","December 28, 2014","4:25 PM ET","Lambeau Field","Green Bay, WI ","DET","GB",20,30,78408
"400554412","December 28, 2014","1:00 PM ET","NRG Stadium","Houston, TX ","JAX","HOU",17,23,71777
"400554413","December 28, 2014","1:00 PM ET","Arrowhead Stadium","Kansas City, MO ","SD","KC",7,19,73952
"400554414","November 16, 2014","4:25 PM ET","U of Phoenix Stadium","Glendale, AZ ","DET","ARI",6,14,62487
"400554415","December 14, 2014","4:25 PM ET","Ford Field","Detroit, MI ","MIN","DET",14,16,62490
"400554416","December 7, 2014","1:00 PM ET","TCF Bank Stadium","Minneapolis, MN ","NYJ","MIN",24,30,52152
"400554417","November 16, 2014","8:30 PM ET","Lucas Oil Stadium","Indianapolis, IN ","NE","IND",42,20,66751
"400554418","December 14, 2014","4:05 PM ET","LP Field","Nashville, TN ","NYJ","TEN",16,11,69143
"400554419","December 7, 2014","1:00 PM ET","Sun Life Stadium","Miami, FL ","BAL","MIA",28,13,70244
"400554420","December 14, 2014","4:05 PM ET","Qualcomm Stadium","San Diego, CA ","DEN","SD",22,10,68682
